DirectorID,DirectorName,MovieCount,Director_AvgRating
nm1436428,Keith Maitland,3,7.966666667
nm0299348,Osamu Fushimizu,3,7.966666667
nm3614151,Brett Sullivan,6,7.966666667
nm0062799,Peter Baxter,3,7.966666667
nm2407640,Petar Oreskovic,3,7.966666667
nm0082220,Robert Bilheimer,3,7.966666667
nm0191831,Mervyn Cumming,3,7.966666667
nm0175264,Bob Connolly,6,7.966666667
nm3193359,Ben Harding,3,7.966666667
nm2090073,David Teague,3,7.966666667
nm1011820,Nicole Newnham,3,7.966666667
nm1934513,Ren?? Fortunato,8,7.9625
nm0000233,Quentin Tarantino,13,7.961538462
nm0013824,Ignacio Ag??ero,5,7.96
nm0810602,Ladislav Smoljak,5,7.96
nm0823088,Wladyslaw Starewicz,5,7.96
nm0201749,Bernard Dartigues,5,7.96
nm0788860,Aribam Syam Sharma,5,7.96
nm0001466,Sergio Leone,7,7.957142857
nm0244901,Salil Dutta,9,7.955555556
nm1050198,Mladen Maticevic,4,7.95
nm1705951,Bertrand Loyer,4,7.95
nm0387890,Jonathan Hock,4,7.95
nm4974013,Avadhoot Gupte,4,7.95
nm1789443,Frank Gapinski,6,7.95
nm0482288,Lakshmi Deepak,4,7.95
nm0411958,Branko Ivanda,6,7.95
nm0088016,Vladimir Blazevski,4,7.95
nm1375921,Sachin Mukherjee,11,7.945454545
nm1119160,Hai Ninh,5,7.94
nm1314800,Mano Khalil,5,7.94
nm0583874,Guguli Mgeladze,8,7.9375
nm0015878,Reza Allamehzadeh,3,7.933333333
nm2153450,Madeleine Sackler,3,7.933333333
nm1204572,Vlatka Vorkapic,3,7.933333333
nm0520531,Giga Lortkipanidze,3,7.933333333
nm4848741,Susan Kucera,3,7.933333333
nm1253429,Aldo Tardozzi,3,7.933333333
nm0365057,Mark Jonathan Harris,3,7.933333333
nm0342778,Lee B. Groberg,3,7.933333333
nm1237178,David Beilinson,3,7.933333333
nm0892928,Alberto Vendemmiati,3,7.933333333
nm0586952,Lynn-Maree Milburn,3,7.933333333
nm0745948,Jean-Claude Rousseau,3,7.933333333
nm1243062,David Sigal,3,7.933333333
nm0841260,Boris Svetlov,3,7.933333333
nm0388968,John Hoffman,3,7.933333333
nm2480587,Charles Ferguson,3,7.933333333
nm1170017,Estela Renner,3,7.933333333
nm0361561,Fedor Hanzekovic,3,7.933333333
nm3250747,Anjali Menon,3,7.933333333
nm3120448,Marko Skop,3,7.933333333
nm3994747,Boodee Keerthisena,3,7.933333333
nm1030659,M. Krishnan,3,7.933333333
nm1044632,Ruben Abalos,3,7.933333333
nm0403951,Amjad Hossain,6,7.933333333
nm0353525,Carlos Hagerman,3,7.933333333
nm1626428,Murray Wais,4,7.925
nm3672123,Paul Diffley,4,7.925
nm0718765,Aleksandre Rekhviashvili,4,7.925
nm0714772,P. Chandrasekhara Reddy,4,7.925
nm0255613,Jon Else,4,7.925
nm1632985,Steve Winter,4,7.925
nm1112199,Russell Holt,4,7.925
nm0213450,Dean DeBlois,4,7.925
nm2272814,Ekaterina Eremenko,4,7.925
nm2807761,Dan Schneidkraut,5,7.92
nm0323281,Obrad Gluscevic,5,7.92
nm0959020,Charlotte Zwerin,5,7.92
nm3777147,Pavol Barabas,13,7.915384615
nm0445368,Xhanfize Keko,7,7.914285714
nm0849416,Nikola Tanhofer,7,7.914285714
nm0001789,Andrei Tarkovsky,10,7.91
nm0253083,R. Bruce Elder,3,7.9
nm5389446,Niall McCann,3,7.9
nm0596237,Amit Mitra,3,7.9
nm6143077,Pablo D'Stair,4,7.9
nm0711212,Manhar Raskapur,3,7.9
nm0438649,Ajoy Kar,16,7.9
nm0379088,Sonia Herman Dolz,4,7.9
nm0052024,Raimundas Banionis,4,7.9
nm0024912,Shimit Amin,3,7.9
nm7846444,Minoru Mizoguchi,3,7.9
nm3373269,Bijukumar Damodaran,6,7.9
nm0440424,Girish Kasaravalli,13,7.9
nm0390889,Neil Hollander,4,7.9
nm6458915,Ram Babu Gurung,4,7.9
nm4400961,Prakash,5,7.9
nm1166957,Scott Petersen,3,7.9
nm1056600,Paul Cronin,3,7.9
nm0787463,Neer Bikram Shah,3,7.9
nm0618935,Sundarrao Nadkarni,4,7.9
nm0125684,Byamba Sakhya,3,7.9
nm2638398,Stelios Kouloglou,4,7.9
nm1164313,Dejidiin Jigjid,3,7.9
nm1009787,Alexandra Shiva,4,7.9
nm0951834,Andrei Zagdansky,5,7.9
nm0245256,Cherry Duyns,3,7.9
nm0252021,Bob Eisenhardt,4,7.9
nm0002548,Ruby Yang,3,7.9
nm3578010,Yukihiro Miyamoto,3,7.9
nm1553346,Scott Gaffney,4,7.9
nm1401789,Mandeep Chahal,3,7.9
nm1098834,Jo??o Moreira Salles,5,7.9
nm0619760,M.T. Vasudevan Nair,3,7.9
nm0114378,Owsley Brown,3,7.9
nm7630832,Krishnadev Yagnik,3,7.9
nm2496474,Nicolas Rey,3,7.9
nm0916923,John Webster,3,7.9
nm0108889,Edwin Brienen,13,7.892307692
nm0707381,Rajdutt,13,7.884615385
nm0348470,Dinen Gupta,13,7.876923077
nm0802377,Tapan Sinha,29,7.875862069
nm0290712,Allan Francovich,4,7.875
nm2564117,Inara Kolmane,4,7.875
nm0726914,Dick Rijneke,4,7.875
nm1070064,Joel Pizzini,4,7.875
nm0924421,Adam N. White,4,7.875
nm0887376,Mildred Van Leeuwaarden,4,7.875
nm0293822,Craig Freimond,4,7.875
nm3217335,Aaron Young,4,7.875
nm1029582,Ajit Ganguly,4,7.875
nm0802501,Bruce Sinofsky,4,7.875
nm0710587,P.S. Ramakrishna Rao,7,7.871428571
nm0326500,Kresimir Golik,10,7.87
nm0789166,Stoney Sharp,3,7.866666667
nm1062779,Eric Pauwels,3,7.866666667
nm0590882,Matej Minac,3,7.866666667
nm0473549,Toshiyuki Kubooka,3,7.866666667
nm0160545,David Christopher,3,7.866666667
nm2861174,Kris Koenig,3,7.866666667
nm1253479,Yevgeniya Tirdatova,3,7.866666667
nm0707892,Gudavalli Ramabrahmam,3,7.866666667
nm0445391,Tunde Kelani,3,7.866666667
nm0166809,Danny Clinch,3,7.866666667
nm3566441,Mike Lordi,3,7.866666667
nm2099293,Antonello Belluco,3,7.866666667
nm0441919,Dan Katzir,3,7.866666667
nm1028280,Bijoy Bose,6,7.866666667
nm3361397,Tatsuya Oishi,3,7.866666667
nm1701233,Francesco Fanelli,3,7.866666667
nm5234736,Phillip Baribeau,3,7.866666667
nm3682706,Boris Mitic,3,7.866666667
nm1216767,Kaoru Ikeya,3,7.866666667
nm0914388,Polly Watkins,3,7.866666667
nm0804920,Fedor Skubonja,3,7.866666667
nm0762781,Oles Sanin,3,7.866666667
nm0463473,Greg Kohs,3,7.866666667
nm0297085,Susan Froemke,9,7.866666667
nm1108561,Archie Borders,3,7.866666667
nm0059395,Jahnu Barua,10,7.86
nm0611567,Sudhir Mukherjee,5,7.86
nm0521422,Emil Loteanu,5,7.86
nm2620986,Alamgir Kabir,5,7.86
nm0813331,Frances-Anne Solomon,5,7.86
nm1410815,Asghar Farhadi,7,7.857142857
nm1381689,Timothy Spanos,7,7.857142857
nm0304158,Mohan Gandhi,11,7.854545455
nm0321538,Viktor Gjika,8,7.85
nm1995242,Todd Jones,4,7.85
nm0186109,Bestor Cram,4,7.85
nm0009775,B. Vittalacharya,10,7.85
nm0956890,Thom Zimny,4,7.85
nm0654908,P. Sambasiva Rao,6,7.85
nm0097882,Modhu Bose,4,7.85
